,YearMonth,publication,text,topic_nr,topic_name
12,2013-02,Le Monde,"Au Bangladesh, survivre avec le changement climatique.  ... Le Bangladesh est l'un des pays les plus vulnérables au  changement  climatique. Les deux tiers de ses terres culminent à moins de 5 mètres audessus du niveau de la mer ...",33,33_bangladesh_les réfugiés climatiques_climatique crée plus_utilise étranger comme
13,2013-02,Le Monde,"Face à l'obstacle du Congrès, la menace de recourir aux décrets.  ...  du sauvetage de la planète un impératif moral.  « Ne pas répondre à la menace du  changement  climatique serait trahir nos enfants et les générations futures. Certains nient encore le jugement accablant de ...",5,5_bolsonaro_changement_brésil_ne
14,2013-02,Le Monde,La France demande une réforme du marché européen du carbone....  des réformes plus structurelles en fixant un objectif de réduction d'émissions de gaz à  effet  de  serre à long terme :  40 % en 2030 et  60 % en 2040.   (AEF.) Seulement 45 % des ...,1,1_carbone_france_gaz effet de_émissions de
15,2013-02,Le Monde,"Faut-il interdire le commerce de l'ours polaire ?.  ...  000 représentants, souffre avant tout de la disparition de son habitat. Sous l'effet du  réchauffement  climatique, la banquise estivale ne cesse de s'amenuiser. Or, l'espèce en dépend presque entièrement ...",6,6_des glaciers_stations_les alpes_glaces
16,2013-02,Le Monde,"L'Europe en quête de carburants vraiment « verts ».  ...  mal,  ditelle simplement,  que sur un projet dont l'objectif est la réduction des gaz à  effet  de  serre, nous n'aboutissions pas à une solution allant dans ce sens. »  ...",2,2_europe_union_bruxelles_émissions de
17,2013-03,Le Monde,Un réchauffement sans précédent depuis 11 000 ans.  ...  celles d'aujourd'hui » . M. Mann se dit  « certain »  que  « les professionnels du déni du  changement  climatique attaqueront cette nouvelle étude et ses auteurs » . Il sait de quoi il parle. En 1998 ...,0,0_cop_paris_changement_accord
18,2013-03,Le Monde,"Une planète très « viande ».  ...  les droits des animaux, mais aussi sur l'environnement et le climat. En effet, l'élevage pèse 18 % des émissions mondiales de gaz à  effet  de  serre responsables du  changement  climatique.  ...",17,17_vaches_de élevage_14 des_production de viande
19,2013-03,Le Monde,"Climat : l'Europe se projette en 2030.  ...  financière qui la mine ne doit pas détourner l'Europe de la lutte contre le  changement  climatique : Connie Hedegaard et Gunther Oettinger, respectivement commissaire au climat et à l'énergie, ont annoncé ...",2,2_europe_union_bruxelles_émissions de
20,2013-04,Le Monde,"Le temps presse.  ...  des sciences, on a pu s'informer de la  « financiarisation de la nature » , des  « fausses solutions au  changement  climatique : agrocarburants, bioénergie industrielle, nucléaire... » , de la géoingénierie, des migrations climatiques, etc.  ...",0,0_cop_paris_changement_accord
21,2013-04,Le Monde,"L'hydrogène et la transition énergétique allemande....  écologiste américain Bill McKibben, l'Allemagne est en première ligne de la lutte contre le  changement  climatique :  « Une alternative claire et les meilleures nouvelles de l'année 2012 sont venues d'Allemagne ...",12,12_angela merkel_ses_chancelière_respecter ses engagements
22,2013-04,Le Monde,"Le plan de sauvetage du marché carbone rejeté.  ...  2005 pour permettre à l'UE d'atteindre ses objectifs de réduction de gaz à  effet  de  serre. Ils ont également évoqué les menaces, pour la compétitivité des entreprises et la facture ...",2,2_europe_union_bruxelles_émissions de
23,2013-04,Le Monde,"L'agriculture mondiale en quête de réponses au changement climatique.  ...  Faim, nutrition et justice climatique », s'est insurgé contre le fardeau que fait peser le  changement  climatique provoqué par les pays industrialisés sur les populations les plus vulnérables de la planète, ainsi ...",0,0_cop_paris_changement_accord
24,2013-04,Le Monde,Sables mortels.  ...  respect de l'environnement. Le Canada a aussi quitté le protocole de Kyoto sur le  changement  climatique et la convention sur la désertification. Quant aux émissions de gaz à  effet  de serre ...,29,29_justin trudeau_justin_harper_oléoduc géant
25,2013-04,Le Monde,"Islande Entre fronde et orthodoxie.  ...  bénéficie de la remontée vers le nord de la plupart des espèces, à cause du  réchauffement  climatique, et le tourisme est dopé par la faiblesse de la couronne, la monnaie locale.  ...",34,34_tourisme est responsable_crémation_hébergement_voyages
26,2013-04,Le Monde,"Climat : la catastrophe annoncée.  ...  York, ils verront de l'eau dans leur salon et ils se diront : «Tiens, le  changement  climatique est une réalité!» Chez nous, aux Maldives, l'eau est déjà dans la maison. »  En ...",16,16_premières victimes_enfants_santé mentale_pandémie
27,2013-04,Le Monde,"Les petites îles du Pacifique se cherchent un nouveau modèle de développement.  ...  les microEtats du Pacifique sont parmi les plus exposés au monde aux conséquences du  réchauffement  climatique : acidification de l'océan, multiplication des catastrophes naturelles, dégradation des récifs coralliens, élévation du niveau ...",31,31_barrière_barrière de corail_récifs_récifs coralliens
28,2013-04,Le Monde,"Climat : l'offensive de M. Obama contre les « négateurs ».  ...  sur Twitter, depuis le compte officiel du président américain Barack Obama.  « Dites aux négateurs du  changement  climatique qui siègent au Congrès d'arrêter d'ignorer les preuves écrasantes de la science » , enjoint ...",3,3_joe biden_américain_son_plan
29,2013-05,Le Monde,"En Europe, les vignerons s'adaptent déjà au changement climatique....  vigne se réduiraient de 68 % en Europe méditerranéenne d'ici à 2050 à cause du  réchauffement  climatique, selon les conclusions de Lee Hannah, un scientifique travaillant pour l'organisation non gouvernementale Conservation ...",0,0_cop_paris_changement_accord
30,2013-05,Le Monde,"Faire prévaloir l'intérêt général.  ...  un financement complémentaire à la lutte contre l'extrême pauvreté, les grandes pandémies et le  changement  climatique. Ces causes, que les dirigeants ont tendance à sacrifier par leur vision courttermiste de ...",4,4_macron_les villes_entreprises_dollars
31,2013-05,Le Monde,"Changement climatique : retour au pliocène?.Indifférent aux controverses ou à l'embarras qu'il suscite, le  changement  climatique de notre planète poursuit son cours, inexorablement. Ce moisci, la concentration de dioxyde de carbone (CO2) dans l ...",0,0_cop_paris_changement_accord
32,2013-05,Le Monde,"En France, un enseignement morcelé.  ...  l'éducation à l'environnement et au développement durable (EEDD) est au programme. Mais le  réchauffement  climatique n'est pas un thème en soi.  « Par conséquent, l'école ne donne pas toutes ...",16,16_premières victimes_enfants_santé mentale_pandémie
33,2013-05,Le Monde,"Les salles de classe anglo-saxonnes, nouvelles cibles des climatosceptiques.  ... Uni, la polémique enfle chez les enseignants et les scientifiques qui craignent de voir le  changement  climatique disparaître des programmes scolaires. Aux EtatsUnis, la notion vient certes de faire son entrée ...",16,16_premières victimes_enfants_santé mentale_pandémie
34,2013-05,Le Monde,"C'était comment la Terre en 1984?.  ...  à quel point la face de la Terre s'est modifiée sous l'effet du  changement  climatique et des activités humaines. Travail aussi phénoménal que captivant, cette carte interactive propose d'explorer ...",0,0_cop_paris_changement_accord
35,2013-05,Le Monde,"Le réchauffement menace un tiers des animaux et la moitié des végétaux.  ...  Anglia, RoyaumeUni) tente de chiffrer le risque d'érosion de la biodiversité dû au  changement  climatique en cours. Ces travaux, publiés lundi 13 mai dans la revue  Nature Climate Change , permettent ...",13,13_oiseaux_invasives_exotiques_pollution
36,2013-05,Le Monde,Faisons de la transition énergétique le moteur du couple franco-allemand.  ...  devons poursuivre nos efforts afin d'atteindre l'objectif des 2 oC fixé pour le  réchauffement  climatique lors du sommet de Copenhague en 2009. Il faudra s'efforcer de dépasser l'objectif ...,2,2_europe_union_bruxelles_émissions de
37,2013-05,Le Monde,"Un débat français où chacun campe sur ses positions.  ...  à 2050 pour tenir les engagements de Paris en matière de réduction de gaz à  effet  de  serre, sans pénaliser pour autant entreprises et consommateurs? Une fois ce scénario établi, il sera ...",1,1_carbone_france_gaz effet de_émissions de
38,2013-05,Le Monde,"L'Indonésie offre un nouveau sursis à ses forêts primaires.  ...  international de protection des forêts tropicales, baptisé REDD, pour réduction des émissions de gaz à  effet  de  serre liées à la déforestation et à la dégradation des forêts, qui constitue l'un ...",11,11_déforestation_les forêts_pompiers_tropicales
39,2013-05,Le Monde,"L'Inde débordée par le flux des « déplacés climatiques ».  ...  violence des inondations pourrait s'accentuer dans les prochaines années, sous le double effet du  réchauffement  climatique et de la construction d'infrastructures à proximité du Brahmapoutre, mettant en péril la vie ...",0,0_cop_paris_changement_accord
40,2013-05,Le Monde,"Explosion des prix, réseau insuffisant, augmentation des gaz à effet de serre : en Allemagne, les effets pervers d'une révolution.  ...  question au sein du gouvernement. » Second effet pervers : l'augmentation des émissions de gaz à  effet  de  serre en Allemagne. En déclin continu depuis vingt ans, la production de CO2 est de ...",12,12_angela merkel_ses_chancelière_respecter ses engagements
41,2013-05,Le Monde,"Le coeur du débat.  ...  apparaît avec une lucidité cristalline. D'un côté, les écologistes déduisent de la gravité du  changement  climatique qu'il faut réduire les émissions de gaz à  effet  de  serre de 80 % à ...",19,19_au moins 40_un esprit_40 les émissions_de justice sociale
42,2013-05,Le Monde,"Virgin, empire excentrique.  ...  Australia. En déplacement le 13 mai à Singapour, le croisé de la lutte contre le  réchauffement  climatique a été pris à parti au sujet de l'impact de son projet de tourisme ...",3,3_joe biden_américain_son_plan
43,2013-05,Le Monde,"Gérard Mestrallet « L'Europe de l'énergie est un échec. Il faut agir! ».  ...  homogènes en Europe, des objectifs quantifiés jusqu'en 2030 en matière de lutte contre le  réchauffement  climatique. EDF est exclu du club? Non. EDF était invité, mais n'a pas pu venir ...",2,2_europe_union_bruxelles_émissions de
44,2013-05,Le Monde,"L'usure du monde.  ...  de fondre, de se réduire tragiquement du fait de la montée des eaux consécutive au  réchauffement  climatique consécutif à l'effet  de  serre consécutif aux émissions de dioxyde de carbone consécutives à ...",36,36_stables_les émissions mondiales_vont continuer grimper_37 ici
45,2013-05,Le Monde,"Le réchauffement climatique à l'assaut du Mont-Blanc.  ...  de recherche sur les écosystèmes d'altitude (CRÉA) de Chamonix (HauteSavoie), ceuxci ont mis en commun 152 études pour modéliser l'impact du  changement  climatique sur ce massif emblématique.  ...",6,6_des glaciers_stations_les alpes_glaces
46,2013-06,Le Monde,Londres se prépare aux débordements de la Tamise.  ... Si bien que la barrière de la Tamise pourrait bientôt ne plus suffire. Le  changement  climatique va provoquer une montée du niveau de la mer et des pluies torrentielles plus fréquentes. Londres ...,7,7_inondations_phénomènes_eaux_par le
47,2013-06,Le Monde,"L'Europe centrale fait face à des inondations d'une « ampleur historique ».  ...  l'Europe devait se préparer à vivre des inondations plus nombreuses du fait, notamment, du  changement  climatique. Christian Rohr, professeur à l'université de Berne, spécialiste de l'histoire des inondations, explique ...",8,8_bce_banque centrale_christine lagarde_politique monétaire
48,2013-06,Le Monde,La Chine et les Etats-Unis d'accord pour réduire les « supergaz » à effet de serre HFC.  ...  aussi trouvé un terrain d'entente dans un domaine plus surprenant : la lutte contre le  changement  climatique. Les deux pays ont annoncé un accord visant à éliminer progressivement la production et l ...,9,9_chinois_jinping_pic_la chine et
49,2013-06,Le Monde,""" Faire plus contre le changement climatique ""....  Nous savons que nous devons faire plus et nous ferons plus pour lutter contre le  changement  climatique "", a promis Barack Obama, mercredi, à Berlin. "" Notre génération doit avancer vers un pacte mondial ...",27,27_communautés locales agissent_climatique vid_en croissance_économie circulaire est
50,2013-06,Le Monde,"La transition énergétique est une nécessité.  ...  juin à un accord inédit visant à la suppression de certains types de gaz à  effet  de  serre (dits HFC) au niveau international dans les années à venir. Le deuxième, qui a ...",1,1_carbone_france_gaz effet de_émissions de
51,2013-06,Le Monde,"Bye-bye USA.  ...  fait deux pas dans ce sens, par sa taxe sur les émissions de gaz à  effet  de  serre des avions et par la pose de barrières antidumping devant les panneaux solaires ...",36,36_stables_les émissions mondiales_vont continuer grimper_37 ici
52,2013-06,Le Monde,"Démission du premier ministre....  surprise les autorités du pays.   (AFP.) Les EtatsUnis appellent à la mobilisation sur le  changement  climatique NEW DELHI. Le secrétaire d'Etat américain John Kerry a appelé, dimanche 23 juin, en ...",3,3_joe biden_américain_son_plan
53,2013-06,Le Monde,"Les Etats-Unis appellent à la mobilisation sur le changement climatique....  John Kerry a appelé, dimanche 23 juin, en Inde, à une mobilisation mondiale accrue contre le  changement  climatique. Le président Obama doit prononcer mardi un important discours sur ce thème.   (AFP.)  ...",3,3_joe biden_américain_son_plan
54,2013-06,Le Monde,"La polémique enfle en Inde après le bilan désastreux de la mousson précoce.  ...  pour l'instant prudents sur l'existence d'un lien entre ce désastre et le  réchauffement  climatique, et en particulier la fonte de glaciers de l'Himalaya. Le  changement  climatique augmente la ...",0,0_cop_paris_changement_accord
55,2013-06,Le Monde,"Le projet d'oléoduc géant entre le Canada et les Etats-Unis suspendu à son bilan carbone.  ... il finalement le jour? Mardi 25 juin, en présentant son plan d'action contre le  changement  climatique, le président américain, Barack Obama, a posé deux conditions à la construction de cet ouvrage ...",29,29_justin trudeau_justin_harper_oléoduc géant
56,2013-06,Le Monde,"L'Amérique se réveille, enfin!....  nouvelle : les EtatsUnis sont de retour sur le front de la lutte contre le  changement  climatique. C'est le message qu'a souhaité envoyer Barack Obama en annonçant un  « premier plan ...",3,3_joe biden_américain_son_plan
57,2013-06,Le Monde,"Bangkok sous les eaux en 2030?.  ...  ce que redoute la Banque mondiale qui, dans son rapport sur les impacts régionaux du réchauffement, publié le 19 juin, place Bangkok parmi les mégalopoles les plus vulnérables au  changement  climatique.  ...",3,3_joe biden_américain_son_plan
58,2013-06,Le Monde,"Obama repart au combat contre le réchauffement.  ...  est venue, d'autant qu'ils paient déjà  « le prix de l'inaction »  face au  changement  climatique. Une gageure, illustrée par la rapidité avec laquelle les chaînes câblées se sont détournées du ...",3,3_joe biden_américain_son_plan
59,2013-07,Le Monde,"Pas beau, le Nobel.  ... De surcroît, monsieur le Président, l'action sur le  changement  climatique promise par l'impétrant avait été un des arguments essentiels conduisant à votre choix, un mois avant la conférence de Copenhague ...",0,0_cop_paris_changement_accord
60,2013-07,Le Monde,"La République démocratique du Congo relance le barrage géant du Grand Inga.  ...  desservira uniquement le continent » , met en avant Hela Cheikhrouhou, directrice du département énergie, environnement et  changement  climatique de la BAD. L'Afrique du Sud est la première intéressée. Confronté à des pénuries ...",25,25_famine_madagascar_kenya_milliards habitants
61,2013-07,Le Monde,"L'Union européenne veut jauger les agrocarburants d'après leur impact environnemental.  U ne avancée réelle dans la réduction des gaz à  effet  de  serre. Un signal fort. »  Corinne Lepage ne cachait pas sa satisfaction, jeudi 11 juillet au matin. Rapporteuse du très polémique ...",2,2_europe_union_bruxelles_émissions de
62,2013-07,Le Monde,"L'Australie avance d'un an l'abandon de la taxe carbone.  ...  ministres ont démissionné après le changement de chef de gouvernement, dont le ministre chargé du  changement  climatique, Greg Combet, fervent défenseur de la taxe carbone contre les attaques du chef de file ...",14,14_climat australie_incendies_abbott_par habitant
63,2013-07,Le Monde,"Consensus sur l'intention, divergences sur les moyens.  ... «facteur 4», c'estàdire la division par quatre des émissions des gaz à  effet  de  serre à l'horizon 2050 »,  veutil croire. Loin de la position du Medef qui ...",10,10_émissions de_de gaz_effet de serre_gaz effet de
64,2013-07,Le Monde,"Energie : la transition dont ils ne veulent pas....  que je suis se prenait à rêver que le réalisme serait de reconnaître que le  changement  climatique n'attend pas, pas plus que les 3 264 500 chômeurs recensés en mai, ou ...",5,5_bolsonaro_changement_brésil_ne
65,2013-07,Le Monde,"Des réacteurs nucléaires de plus en plus difficiles à refroidir.  ...  Lochbaum. A Millstone comme à Braidwood, les réacteurs, à eau pressurisée, sont particulièrement sensibles au  changement  climatique. L'augmentation de la température de l'eau et la réduction du débit des fleuves ...",15,15_énergie nucléaire_atome_nucléaire qui_japon
66,2013-07,Le Monde,"Le parc énergétique américain est vulnérable au changement climatique.  ... 'énergie a consacré mijuillet à la vulnérabilité du secteur américain de l'énergie au  changement  climatique et à la multiplication des sécheresses, tempêtes et autres inondations. Ce document, qui compile des ...",16,16_premières victimes_enfants_santé mentale_pandémie
67,2013-08,Le Monde,"Les troubles du climat, source de conflits....  la lumière des tumultes de l'Histoire, ses auteurs estiment que, dans le futur,  "" le  changement  climatique d'origine anthropique risque d'augmenter considérablement les conflits de par le monde "" . Une conclusion ...",33,33_bangladesh_les réfugiés climatiques_climatique crée plus_utilise étranger comme
68,2013-08,Le Monde,"Bouleversements au Grand Nord - 2/6 Groenland Les pêcheurs ont la main verte.  ...  Scandinaves, métis  , mais ici, tout le monde est d'accord sur un point essentiel : le  réchauffement  climatique, spectaculaire dans la région, est la meilleure chose qui soit jamais arrivée au Groenland. Peu ...",6,6_des glaciers_stations_les alpes_glaces
69,2013-08,Le Monde,"MAîTRES EN LEUR ROYAUME 3/6. Anote Tong, gardien des atolls submersibles.  ...  de Copenhague en 2009, il a organisé l'année suivante sa propre conférence sur le  changement  climatique à Tarawa; douze pays y ont signé la déclaration d'Ambo, incitant la communauté internationale ...",5,5_bolsonaro_changement_brésil_ne
70,2013-08,Le Monde,"Bouleversements au Grand Nord 4/6 . Alaska Le peuple des deux rives.  ...  programmes binationaux : surveillance des migrations des baleines, des morses et des ours blancs, analyse du  changement  climatique, études ethnologiques et archéologiques, plus quelques échanges artistiques, comme pour le Qatnut. Pour les Russes ...",6,6_des glaciers_stations_les alpes_glaces
71,2013-08,Le Monde,Un village cossu du Sussex se refuse au gaz de schiste.  ... 'incompatibilité du développement de cette énergie fossile avec la réduction des émissions de gaz à  effet  de  serre nécessaire pour limiter le  réchauffement  climatique. Les proportions du campement improvisé de Balcombe sont ...,1,1_carbone_france_gaz effet de_émissions de
72,2013-08,Le Monde,"Gaz de schiste, effet de serre : David Cameron répond aux voeux de l'industrie.  ... 'était démarqué de ses prédécesseurs en se faisant le chantre de la lutte contre le  réchauffement  climatique et l'effet  de  serre. Il avait été jusqu'à modifier le logo de son ...",0,0_cop_paris_changement_accord
73,2013-08,Le Monde,"En Angleterre, le réchauffement climatique fait le bonheur de la vigne.  ...  pour lui, pas de doute, le responsable de cette situation n'est autre que le  changement  climatique.  « Il est bien là , affirme cet homme de 37 ans à l'allure de cadre ...",0,0_cop_paris_changement_accord
74,2013-08,Le Monde,"les toits du monde 4|5. Chacaltaya, le glacier disparu.  ...  dernier à chausser une paire de skis sur 20 m2 de glace en 2009.  « Le  réchauffement  climatique change notre vie,  déplore Samuel.  On doit souvent descendre chercher de l'eau potable. »  Les ...",6,6_des glaciers_stations_les alpes_glaces
75,2013-08,Le Monde,"L'Equateur renonce à sanctuariser le parc Yasuni pour en exploiter le pétrole.  ...  télévision M. Correa, dénonçant  « la grande hypocrisie »  des nations les plus émettrices de gaz à  effet  de  serre.  « Ce n'est pas la charité que nous demandions à la communauté internationale, mais ...",1,1_carbone_france_gaz effet de_émissions de
76,2013-08,Le Monde,Lutte contre le réchauffement : la régression....  renonçait à son objectif de diminuer de 10 % à 20 % ses émissions de gaz à  effet  de  serre d'ici à 2020 par rapport à leur niveau de 1990 et qu'elle ...,10,10_émissions de_de gaz_effet de serre_gaz effet de
77,2013-08,Le Monde,"TêTES DE CEPS 2/6 - Le ribeyrenc de grand-mère....  faire de tous ces degrés qui montent? Jusqu'où vaton aller avec ce  réchauffement  climatique annoncé?  « Faire des vins à 15 o, c'est bien pour des cuvées d'exception ...",30,30_les vins_bordeaux_vigne et du_viticole française
78,2013-08,Le Monde,"Le retour d'une taxe qui avait déjà été envisagée.  ...  Grenelle de l'environnement. Cette contribution (CEC), destinée à limiter les émissions de gaz à  effet  de  serre, consistait à taxer, sur le principe « pollueurpayeur », la consommation d'énergies fossiles émettrices ...",1,1_carbone_france_gaz effet de_émissions de
79,2013-08,Le Monde,"Au Royaume-Uni, le programme d'aide à l'isolation des logements est un échec.  ... 'aide à l'isolation pour réduire la consommation d'énergie, et donc les émissions de gaz à  effet  de  serre. C'est ainsi que le Green Deal est né en janvier.  ...",1,1_carbone_france_gaz effet de_émissions de
80,2013-08,Le Monde,"La Chine prépare méthodiquement une extension de ses dessertes maritimes.  ...  fait une entrée à pas de velours dans les forums arctiques, parlant avant tout de  changement  climatique et de protection des biens publics communs. Elle s'est bien gardée de lorgner les ...",9,9_chinois_jinping_pic_la chine et
81,2013-08,Le Monde,"Fatih Birol : « L'ère du brut bon marché est terminée ».  ...  vingt ans, repoussant le pic de production de pétrole? Il ne faut pas oublier le  changement  climatique. Avec le charbon, le pétrole est l'une des premières sources de gaz à effet ...",26,26_actionnaires_exxonmobil_pétrolier_majors
82,2013-09,Le Monde,"Les habitants des atolls poussés à l'exil par la montée des eaux.  Leurs émissions de gaz à  effet  de  serre sont minimes, mais elles figurent parmi les victimes les plus tangibles du  changement  climatique : les petites îles du Pacifique devaient clore aux îles Marshall ...",22,22_vanuatu_qui subit_petites îles_continent africain
83,2013-09,Le Monde,"Vers une élimination des supergaz à effet de serre HFC.  La coalition contre les super gaz à  effet  de  serre s'élargit. Après l'accord bilatéral intervenu entre les EtatsUnis et la Chine en juin, les pays du G20 se sont ...",9,9_chinois_jinping_pic_la chine et
84,2013-09,Le Monde,"Al Gore : « L'atmosphère est un égout à ciel ouvert ».  ... (Editions de La Martinière). L'essai traite des grands défis de la planète dont le  changement  climatique, thème qui lui a valu d'être colauréat du prix Nobel de la paix ...",0,0_cop_paris_changement_accord
85,2013-09,Le Monde,Le gaspillage alimentaire à l'origine d'un gâchis écologique.  ...  agricole. La production de ces denrées non consommées provoque autant d'émissions de gaz à  effet  de  serre que les EtatsUnis ou la Chine en six mois. Pour rien. Dans un ...,9,9_chinois_jinping_pic_la chine et
86,2013-09,Le Monde,"L'UE limite l'usage des agrocarburants nocifs pour la planète.  ...  de recherche sur les politiques alimentaires avait ainsi calculé que les émissions de gaz à  effet  de  serre du biodiesel tiré de l'huile de palme, de soja et de colza sont ...",36,36_stables_les émissions mondiales_vont continuer grimper_37 ici
87,2013-09,Le Monde,"La « taxe carbone » fait son retour : un casse-tête fiscal et social pour le gouvernement.  ...  noter que tous les économistes, de gauche comme de droite, sont d'accord sur la nécessité de donner un prix aux émissions polluantes liées aux énergies fossiles responsables du  changement  climatique.  ...",1,1_carbone_france_gaz effet de_émissions de
88,2013-09,Le Monde,Etats-Unis - Washington et New York ont échappé à une explosion nucléaire en 1961....  et même New York auraient pu être touchées. EtatsUnis  Les émissions de gaz à  effet  de  serre des nouvelles centrales électriques plafonnées WASHINGTON. L'Agence américaine de protection de l'environnement ...,15,15_énergie nucléaire_atome_nucléaire qui_japon
89,2013-09,Le Monde,Les émissions de gaz à effet de serre des nouvelles centrales électriques plafonnées....  émissions de CO2 des nouvelles centrales électriques au gaz et au charbon pour combattre le  changement  climatique. Ces centrales sont responsables d'un tiers des émissions de gaz à  effet  de serre ...,1,1_carbone_france_gaz effet de_émissions de
90,2013-09,Le Monde,"De nouveaux scénarios....  les économistes avaient élaboré des scénarios se traduisant en termes d'émissions de gaz à  effet  de  serre qui servaient d'« entrée » pour calculer les simulations climatiques. Désormais, les simulations sont nourries ...",36,36_stables_les émissions mondiales_vont continuer grimper_37 ici
91,2013-09,Le Monde,"Pékin investit dans la recherche.  Dans la recherche sur le  changement  climatique, la Chine devient une pointure. Elle n'a guère le choix. Première émettrice de gaz à  effet  de  serre de la planète, la République populaire ...",9,9_chinois_jinping_pic_la chine et
92,2013-09,Le Monde,"Climatologie Le défi des incertitudes.  ... (GIEC). Vendredi 27 septembre, à Stockholm, le premier volume de son nouveau rapport consacré au  changement  climatique sera rendu public. D'ici là, les scientifiques qui l'ont rédigé et les représentants ...",0,0_cop_paris_changement_accord
93,2013-09,Le Monde,"Le tout-pétrole (timidement) contesté en Norvège.  ...  et antipétrole. « Si nous voulons rester sous la barre des deux degrés en termes de  réchauffement  climatique,  dit Rasmus Hansson,  nous devons laisser les deux tiers des réserves de pétrole et de ...",0,0_cop_paris_changement_accord
94,2013-09,Le Monde,"Très vulnérable, le Vanuatu apprend à lutter contre la montée des eaux.  ...  deux autres passagers, venus des Kiribati pour prendre exemple sur les projets d'adaptation au  changement  climatique menés au Vanuatu, opinent. Situé à plus de 2 000 kilomètres de là au beau ...",22,22_vanuatu_qui subit_petites îles_continent africain
95,2013-09,Le Monde,"Une hausse possible de 4,8 C d'ici à la fin du siècle.  ...  du XXe siècle est bel et bien le fait de l'accumulation des gaz à  effet  de  serre d'origine humaine. Cette probabilité était évaluée à 90 % dans le précédent rapport, rendu ...",17,17_vaches_de élevage_14 des_production de viande
96,2013-09,Le Monde,"La vraie-fausse « pause » du réchauffement.  ...  grand nombre d'articles de presse et de commentaires de toutes sortes : les gaz à  effet  de  serre continuent à s'accumuler dans l'atmosphère mais, depuis 1998, un ralentissement de la ...",35,35_concentrations de gaz_ppm_record_année les concentrations
