number_volume,number_issue,number_article,year,period,type_decide,type_1,type_2,name_book,name_book_words,name_book_len,keyword,author_number,author_info,country_list,author_mutiple_country,judge_mutiple_country_article,page_start,page_end,page_quant,date_receive,date_accept,date_online,views,Crossref,Web_of_Science
1,3,5,1999,1999-3,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],12,"[('John Scott', 'male', ""['United Kingdom', 'Norway']"", ' University of Essex, UK, and University of Bergen, Norway.', 'https://www.tandfonline.com/author/Scott%2C+John'), ('Norman Ginsburg', 'male', ""['United Kingdom']"", ' School of Social Sciences, University of North London, UK.', 'https://www.tandfonline.com/author/Ginsburg%2C+Norman'), ('Verena Georgi', 'female', ""['Germany']"", ' Sociological Institute, University of Leipzig, Germany.', 'https://www.tandfonline.com/author/Georgi%2C+Verena'), ('Olli Kangas', 'male', ""['Finland']"", ' Department of Social Policy, University of Turku, Finland.', 'https://www.tandfonline.com/author/Kangas%2C+Olli'), ('C.G.A. Bryant', 'unknown', ""['United Kingdom']"", ' University of Salford, UK.', 'https://www.tandfonline.com/author/Bryant%2C+CGA'), ('Jacques Coenen-Huther', 'male', ""['Switzerland']"", ' Department of Sociology, University of Geneva, Switzerland.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Stefan Immerfall', 'male', ""['Austria', 'Germany']"", ' Universität Passau, Austria', 'https://www.tandfonline.com/author/Immerfall%2C+Stefan'), ('Ricard Gomà', 'male', ""['Spain']"", ' (ricard.goma@uab.es), Universitat Autònoma de Barcelona, Spain.', 'https://www.tandfonline.com/author/Gom%C3%A0%2C+Ricard'), ('Klaus Rasborg', 'male', ""['Denmark']"", ' Department of Social Sciences and Economics, Roskilde University, Denmark.', 'https://www.tandfonline.com/author/Rasborg%2C+Klaus'), ('Jacques Coenen-Huther', 'male', ""['Switzerland']"", ' Department of Sociology, University of Geneva, Switzerland.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Wolfgang Ludwig-Mayerhofer', 'male', ""['Germany']"", ' Department of Sociology, Munich University, Germany.', 'https://www.tandfonline.com/author/Ludwig-Mayerhofer%2C+Wolfgang'), ('Daniel Woodley', 'unknown', ""['United Kingdom']"", ' University of Essex, UK.', 'https://www.tandfonline.com/author/Woodley%2C+Daniel')]","[('United Kingdom', 4), ('Norway', 1), ('Germany', 3), ('Finland', 1), ('Switzerland', 2), ('Austria', 1), ('Spain', 1), ('Denmark', 1)]",2,1,457,496,40,,,21 Oct 2013,13,0,0
1,3,6,1999,1999-3,article,,Index,index to volume 1,"['index', 'volume', '1']",17.0,[],0,[],[],0,0,497,499,3,,,21 Oct 2013,5,0,0
2,1,1,2000,2000-1,article,Article,Original Articles,"blame or fate, individual or social?","['blame', 'fate', 'individual', 'social']",36.0,"['Poverty', 'Values', 'Public Opinion', 'Welfare State', 'Welfare Regime']",2,[],[],0,0,1,28,28,,,02 Dec 2010,609,63,0
2,1,2,2000,2000-1,editorial,editorial,Editorials,editorial,['editorial'],9.0,[],1,[],[],0,0,5,6,2,,,02 Dec 2010,11,0,0
2,1,3,2000,2000-1,article,Article,Original Articles,vocational secondary education,"['vocational', 'secondary', 'education']",30.0,"['Education', 'Vocational Education', 'Qualifications', 'Labor Markets', 'Unemployment', 'Comparative Research']",2,[],[],0,0,29,50,22,,,02 Dec 2010,"2,194",167,3
2,1,4,2000,2000-1,article,Article,Original Articles,"drug policies, prices, and wealth","['drug', 'policy', 'price', 'wealth']",33.0,"['Prices', 'Prohibition', 'Wealth']",1,[],[],0,0,51,64,14,,,02 Dec 2010,61,0,0
2,1,5,2000,2000-1,article,Article,Original Articles,"networks, identity, and (in)action","['network', 'identity', 'action']",34.0,"['Collective Action', 'Social Networks', 'Post-SOCIALISM', 'Russia', 'Comparative Research', 'Professions']",2,[],[],0,0,65,90,26,,,02 Dec 2010,59,6,0
2,1,6,2000,2000-1,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],0,[],[],0,0,91,108,18,,,02 Dec 2010,17,0,0
2,2,1,2000,2000-2,article,Article,Original Articles,the battlegrounds of european identity,"['battleground', 'european', 'identity']",38.0,"['Europe', 'Identity']",1,"[('Martin Kohli', 'male', ""['Germany']"", ' Free University of Berlin ', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]","[('Germany', 1)]",0,0,113,137,25,,,02 Dec 2010,"3,231",110,0
2,2,2,2000,2000-2,article,Article,Original Articles,"'european citizenship', or where neoliberalism meets ethno-culturalism","[""'european"", 'citizenship', ""'"", 'neoliberalism', 'meet', 'ethno-culturalism']",70.0,"['European Union', 'Citizenship', 'Identity', 'Neoliberalism', 'Ethnoculturalism', 'Exclusion', 'Immigration']",1,"[('Peo Hansen', 'male', ""['Sweden']"", ' Umea University ', 'https://www.tandfonline.com/author/Hansen%2C+Peo')]","[('Sweden', 1)]",0,0,139,165,27,,,02 Dec 2010,372,16,0
2,2,3,2000,2000-2,article,Article,Original Articles,beyond unbelief,"['beyond', 'unbelief']",15.0,"['Church Attendance', 'Cross-NATIONAL Comparison', 'Religion', 'Secularization', 'Self-ASCRIBED Religiosity']",1,"[('Heiner Meulemann', 'male', ""['Germany']"", ' University of Cologne ', 'https://www.tandfonline.com/author/Meulemann%2C+Heiner')]","[('Germany', 1)]",0,0,167,194,28,,,02 Dec 2010,53,5,0
2,2,4,2000,2000-2,article,Article,Original Articles,protecting the long-term unemployed,"['protecting', 'long-term', 'unemployed']",35.0,"['Unemployment', 'Southern Europe', 'Active And Passive Labour Market Policies']",2,"[('Rodolfo Gutierrez', 'male', ""['Spain']"", ' Universidad de Oviedo ', 'https://www.tandfonline.com/author/Gutierrez%2C+Rodolfo')]","[('Spain', 1)]",0,0,195,216,22,,,02 Dec 2010,36,5,0
2,2,5,2000,2000-2,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],0,[],[],0,0,217,238,22,,,02 Dec 2010,11,0,0
2,3,1,2000,2000-3,article,Article,Original Articles,"labor market flexibility, social protection and unemployment","['labor', 'market', 'flexibility', 'social', 'protection', 'unemployment']",60.0,"['Labour Market', 'Unemployment', 'Social Security', 'Welfare State']",1,"[('Heiner Ganßmann', 'male', ""['Germany']"", ' Freie Universität , Berlin', 'https://www.tandfonline.com/author/Gan%C3%9Fmann%2C+Heiner')]","[('Germany', 1)]",0,0,243,269,27,,,02 Dec 2010,241,15,0
2,3,2,2000,2000-3,article,Article,Original Articles,return of the crowds and rationality of action: a history of russian 'financial bubbles' in the mid-1990s,"['return', 'crowd', 'rationality', 'action', 'history', 'russian', ""'financial"", 'bubble', ""'"", 'mid-1990s']",105.0,"['Financial Games', 'Rational Action', 'Crowd Behaviour']",1,"[('Vadim Radaev', 'male', ""['Russian Federation']"", ' State University - Higher School of Economics , Moscow ', 'https://www.tandfonline.com/author/Radaev%2C+Vadim')]","[('Russian Federation', 1)]",0,0,271,294,24,,,02 Dec 2010,59,5,13
2,3,3,2000,2000-3,article,Article,Original Articles,models of cross-national variation in occupational sex segregation,"['model', 'cross-national', 'variation', 'occupational', 'sex', 'segregation']",66.0,"['Sex Segregation', 'Welfare State', 'Labour Market']",1,"[('Magnus Nermo', 'male', ""['Sweden']"", ' Swedish Institute for Social Research , Stockholm University ', 'https://www.tandfonline.com/author/Nermo%2C+Magnus')]","[('Sweden', 1)]",0,0,295,333,39,,,02 Dec 2010,163,23,0
2,3,4,2000,2000-3,article,Article,Original Articles,democratic renewal and the hungarian minority question in slovakia,"['democratic', 'renewal', 'hungarian', 'minority', 'question', 'slovakia']",66.0,"['Slovakia', 'Minority Questions', 'Transformation', 'Populism', 'Nationalism', 'Ethnic Democracy']",2,"[('Pieter Van Duin', 'male', ""['Netherlands']"", ' Leiden ', 'https://www.tandfonline.com/author/van+Duin%2C+Pieter'), ('Zuzana Poláč ková', 'female', ""['Slovakia']"", ' Slovak Academy of Sciences , Bratislava ', 'https://www.tandfonline.com/author/Kov%C3%A1%2C+Zuzana+Pol%C3%A1%C4%8D')]","[('Netherlands', 1), ('Slovakia', 1)]",0,1,335,360,26,,,02 Dec 2010,116,2,3
2,3,5,2000,2000-3,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],0,[],[],0,0,361,389,29,,,02 Dec 2010,14,0,0
2,4,1,2000,2000-4,article,Article,Original Articles,class cleavages in party preferences in the new democracies in eastern europe: a comparison with western democracies,"['class', 'cleavage', 'party', 'preference', 'new', 'democracy', 'eastern', 'europe', 'comparison', 'western', 'democracy']",116.0,"['Social Stratification', 'Social Cleavages', 'Voting Behavior', 'Justice Attitudes', 'Eastern Europe']",2,[],[],0,0,397,430,34,,,02 Dec 2010,337,24,0
2,4,2,2000,2000-4,article,Article,Original Articles,public attitudes to social protection and political economy traditions in western europe,"['public', 'attitude', 'social', 'protection', 'political', 'economy', 'tradition', 'western', 'europe']",88.0,"['Public Attitudes', 'Values', 'Welfare', 'Political Economy', 'Europe']",1,[],[],0,0,431,452,22,,,02 Dec 2010,388,35,6
2,4,3,2000,2000-4,article,Article,Original Articles,europe and the 'americanization' of british social policy,"['europe', ""'americanization"", ""'"", 'british', 'social', 'policy']",57.0,"['Welfare', 'Globalization', 'Neo-LIBERALISM', 'Scotland']",1,[],[],0,0,453,482,30,,,02 Dec 2010,145,8,0
2,4,4,2000,2000-4,article,Article,Original Articles,the closure of the russian labour market,"['closure', 'russian', 'labour', 'market']",40.0,"['Labour Market', 'Russia', 'Social Exclusion', 'Social Networks', 'Corruption']",1,[],[],0,0,483,504,22,,,02 Dec 2010,64,16,0
2,4,5,2000,2000-4,article,Article,Original Articles,poverty dynamics: an analysis of the 1994 and 1995 waves of the european community household panel survey,"['poverty', 'dynamic', 'analysis', '1994', '1995', 'wave', 'european', 'community', 'household', 'panel', 'survey']",105.0,"['Poverty Dynamics', 'Echp', 'Welfare Regimes', 'Vicious Circle Processes', 'Log-LINEAR Models', 'Shift And Association Effects']",4,[],[],0,0,505,531,27,,,02 Dec 2010,48,10,0
2,4,6,2000,2000-4,article,Article,Original Articles,"european integration and sociology: the difficult balance between the theoretical, empirical and critical approach","['european', 'integration', 'sociology', 'difficult', 'balance', 'theoretical', 'empirical', 'critical', 'approach']",114.0,[],1,[],[],0,0,533,548,16,,,02 Dec 2010,68,0,0
2,4,7,2000,2000-4,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],0,[],[],0,0,549,562,14,,,23 Nov 2017,1,0,0
2,4,8,2000,2000-4,editorial,editorial,Editorials,editors' acknowledgement,"['editor', ""'"", 'acknowledgement']",24.0,[],0,[],[],0,0,563,563,1,,,02 Dec 2010,6,0,0
3,1,1,2001,2001-1,article,Article,Original Articles,a market in vogue fashion photography in sweden,"['market', 'vogue', 'fashion', 'photography', 'sweden']",47.0,"['Economic Sociology', 'Markets', 'Status', 'Aesthetics', 'Fashion And Photography']",1,[],[],0,0,1,22,22,,,07 Dec 2010,691,17,0
3,1,2,2001,2001-1,introduction,,Miscellany,foreword,['foreword'],8.0,[],2,[],[],0,0,5,10,6,,,07 Dec 2010,27,0,0
3,1,3,2001,2001-1,article,Article,Original Articles,what is 'sociological' about the euro?,"[""'sociological"", ""'"", 'euro']",38.0,"['Money', 'Euro', 'European Monetary Integration', 'European Union', 'European Central Bank', 'Economic Convergence']",1,[],[],0,0,23,39,17,,,07 Dec 2010,191,4,0
3,1,4,2001,2001-1,article,Article,Original Articles,economic sociology in france,"['economic', 'sociology', 'france']",28.0,"['Economic Sociology', 'France', 'Durkheimianism', 'National Sociological Traditions']",1,[],[],0,0,41,67,27,,,07 Dec 2010,153,11,0
3,1,5,2001,2001-1,article,Article,Original Articles,reliability at risk the supervision of financial models as a case study for reflexive economic sociology,"['reliability', 'risk', 'supervision', 'financial', 'model', 'case', 'study', 'reflexive', 'economic', 'sociology']",104.0,"['Financial Engineering', 'Financial Supervision', 'Market Risk', 'Model Risk', 'Reflexive Economic Sociology', 'Social Randomness']",1,[],[],0,0,69,90,22,,,07 Dec 2010,95,15,1
3,1,6,2001,2001-1,article,Article,Original Articles,economists and the economic order the field of economists and the field of power in france,"['economist', 'economic', 'order', 'field', 'economist', 'field', 'power', 'france']",90.0,"['Autonomy', 'Economic Beliefs', 'Field Of Power', 'Homology', 'Multiple Correspondance Analysis', 'Scientific Field', 'Scientific Capital']",1,[],[],0,0,91,110,20,,,07 Dec 2010,198,41,5
3,1,7,2001,2001-1,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],0,[],[],0,0,111,130,20,,,07 Dec 2010,20,0,0
3,2,1,2001,2001-2,article,Article,Original Articles,modifications in the religious field of central and eastern europe,"['modification', 'religious', 'field', 'central', 'eastern', 'europe']",66.0,"['Sociology Of Religion', 'Secularisation', 'Individualisation', 'Central And Eastern Europe', 'Church And Religion']",1,[],[],0,0,135,165,31,,,02 Dec 2010,114,19,0
3,2,2,2001,2001-2,article,Article,Original Articles,"gender, comparative research and biographical matching","['gender', 'comparative', 'research', 'biographical', 'matching']",54.0,"['Methodology', 'Comparative Research', 'Europe', 'Gender', 'Case Studies']",1,[],[],0,0,167,190,24,,,02 Dec 2010,154,21,0
3,2,3,2001,2001-2,article,Article,Original Articles,from needs to the market: the changing inequality of household income in the czech transition,"['need', 'market', 'changing', 'inequality', 'household', 'income', 'czech', 'transition']",93.0,"['Household Income', 'Income Inequality', 'Czech Republic', 'Redistribution', 'Market Adjustment']",1,[],[],0,0,191,212,22,,,02 Dec 2010,33,8,0
3,2,4,2001,2001-2,article,Article,Original Articles,"novel food, new markets and trust regimes: responses to the erosion of consumers' confidence in austria, italy and the uk","['novel', 'food', 'new', 'market', 'trust', 'regime', 'response', 'erosion', 'consumer', ""'"", 'confidence', 'austria', 'italy', 'uk']",121.0,"['Trust', 'Trust Regimes', 'Food Consumption', 'Gm Food', 'Consumer Movements']",2,[],[],0,0,213,244,32,,,02 Dec 2010,490,70,3
3,2,5,2001,2001-2,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],0,[],[],0,0,245,256,12,,,02 Dec 2010,19,0,0
3,3,1,2001,2001-3,article,Article,Original Articles,institutional entrepreneurs and cultural frames - the case of the european union's single market program,"['institutional', 'entrepreneur', 'cultural', 'frame', 'case', 'european', 'union', ""'s"", 'single', 'market', 'program']",104.0,"['European Integration', 'Institutional Theory', 'Political Entrepreneurs', 'Single Market Program', 'Strategic Action']",1,[],[],0,0,261,287,27,,,02 Dec 2010,452,49,0
3,3,2,2001,2001-3,article,Article,Original Articles,the construction of a market - a frame analysis of the liberalization of the electricity market in the european union,"['construction', 'market', 'frame', 'analysis', 'liberalization', 'electricity', 'market', 'european', 'union']",117.0,"['European Union', 'Policy-MAKING', 'Institutions', 'Frames', 'Framing', 'Social Movements']",1,[],[],0,0,289,314,26,,,02 Dec 2010,189,12,0
3,3,3,2001,2001-3,article,Article,Original Articles,national identities and emotion in the discourse of british manufacturing unions in the 1980s and early 1990s,"['national', 'identity', 'emotion', 'discourse', 'british', 'manufacturing', 'union', '1980s', 'early', '1990s']",109.0,"['National Identities', 'Emotion', 'Discourse', 'Trade Unions', 'Gender', 'Social Defence Mechanisms', 'Unconscious', 'Sociology', 'Psychoanalysis']",1,[],[],0,0,315,338,24,,,02 Dec 2010,40,1,0
3,3,4,2001,2001-3,article,Article,Original Articles,working and mothering - women's strategies in spain,"['working', 'mothering', 'woman', ""'s"", 'strategy', 'spain']",51.0,"['Family', 'Employment', 'Gender', 'Spain']",1,[],[],0,0,339,371,33,,,02 Dec 2010,269,29,3
3,3,5,2001,2001-3,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],0,[],[],0,0,373,381,9,,,02 Dec 2010,30,0,0
3,4,1,2001,2001-4,article,Article,Original Articles,stratified rights and the management of migration. national distinctiveness in europe,"['stratified', 'right', 'management', 'migration', 'national', 'distinctiveness', 'europe']",85.0,"['Migration', 'Asylum', 'Rights', 'European Union', 'Harmonization', 'Civic Stratification']",1,[],[],0,0,387,411,25,,,02 Dec 2010,314,16,0
3,4,2,2001,2001-4,article,Article,Original Articles,"social exclusion, children and education. implications of a rights-based approach","['social', 'exclusion', 'child', 'education', 'implication', 'rights-based', 'approach']",81.0,"['Education', 'Social Exclusion', 'Capabilities', ""Children'S Rights""]",1,[],[],0,0,413,445,33,,,02 Dec 2010,923,18,0
3,4,3,2001,2001-4,article,Article,Original Articles,"female employment differences, poverty and care provisions","['female', 'employment', 'difference', 'poverty', 'care', 'provision']",58.0,"['Social Security', 'Gender', 'Poverty', 'Employment', 'Educational Level']",4,[],[],0,0,447,469,23,,,02 Dec 2010,237,18,3
